"alminium",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"3.84","958.4983","0.1903438","0.08312988"
"3.85","961.717","0.1908437","0.08312988"
"3.86","965.1423","0.1913438","0.08355713"
"3.87","968.2814","0.1918437","0.08386612"
"3.88","970.9199","0.1923333","0.08405304"
"3.89","973.7174","0.1928438","0.08405304"
"3.9","977.0234","0.1933437","0.08420944"
"3.91","979.9163","0.1938438","0.08420944"
"3.92","983.0952","0.1943437","0.08447647"
"3.93","986.3615","0.1948438","0.08447647"
"3.94","989.1033","0.1953437","0.0848999"
"3.95","992.1948","0.1958437","0.08541489"
"3.96","995.1035","0.1963437","0.08541489"
"3.97","998.2268","0.1968542","0.08591843"
"3.98","1001.787","0.1973542","0.08639145"
"3.99","1004.823","0.1978542","0.08639145"
"4","1007.35","0.1983542","0.0868721"
"4.01","1010.728","0.1988542","0.0868721"
"4.02","1014.098","0.1993542","0.08745575"
"4.03","1017.3","0.1998542","0.08811951"
"4.04","1020.034","0.2003542","0.08811951"
"4.05","1023.253","0.2008438","0.08870316"
"4.06","1026.281","0.2013333","0.08901978"
"4.07","1029.444","0.2018333","0.08901978"
"4.08","1032.519","0.2023229","0.08906174"
"4.09","1035.531","0.2028229","0.08906174"
"4.1","1038.186","0.2033229","0.08899307"
"4.11","1041.166","0.2038229","0.0890274"
"4.12","1043.932","0.2043229","0.0890274"
"4.13","1046.713","0.2048229","0.08929062"
"4.14","1050.194","0.2053229","0.0897789"
"4.15","1053.166","0.2058229","0.0897789"
"4.16","1056.178","0.2063229","0.09043503"
"4.17","1059.445","0.2068229","0.09043503"
"4.18","1062.21","0.2073333","0.09120941"
"4.19","1065.493","0.2078333","0.09199524"
"4.2","1068.322","0.2083437","0.09199524"
"4.21","1071.231","0.2088438","0.09262466"
"4.22","1074.767","0.2093542","0.09302521"
"4.23","1078.041","0.2098542","0.09302521"
"4.24","1080.966","0.2103542","0.09326172"
"4.25","1083.986","0.2108542","0.09326172"
"4.26","1086.918","0.2113542","0.09351349"
"4.27","1089.565","0.2118437","0.09384155"
"4.28","1092.585","0.2123438","0.09384155"
"4.29","1095.573","0.2128437","0.09420013"
"4.3","1098.474","0.2133333","0.09454727"
"4.31","1101.335","0.2138333","0.09454727"
