"SS400_3",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"2.32","647.6561","0.1143437","0.06996155"
"2.33","651.0894","0.1148437","0.07027435"
"2.34","654.1967","0.1153437","0.07027435"
"2.35","657.8843","0.1158333","0.07069397"
"2.36","661.5956","0.1163333","0.07069397"
"2.37","664.7985","0.1168333","0.07120895"
"2.38","668.176","0.1173333","0.07177353"
"2.39","671.6172","0.1178437","0.07232666"
"2.4","675.0504","0.1183437","0.07232666"
"2.41","678.7141","0.1188437","0.07274628"
"2.42","681.9963","0.1193438","0.07274628"
"2.43","685.0084","0.1198438","0.07299042"
"2.44","688.4893","0.1203438","0.0730896"
"2.45","692.0894","0.1208437","0.0730896"
"2.46","695.165","0.1213437","0.07312775"
"2.47","698.9558","0.1218542","0.07321167"
"2.48","702.3176","0.1223542","0.07321167"
"2.49","706.0369","0.1228542","0.073452"
"2.5","709.6926","0.1233542","0.073452"
"2.51","713.0623","0.1238542","0.07389832"
"2.52","716.1855","0.1243542","0.07389832"
"2.53","719.3724","0.1248542","0.07448959"
"2.54","722.5355","0.1253438","0.07506943"
"2.55","726.0482","0.1258437","0.0755043"
"2.56","730.0536","0.1263333","0.0755043"
"2.57","733.5742","0.1268333","0.07579422"
"2.58","736.9598","0.1273229","0.07579422"
"2.59","740.0195","0.1278229","0.0760498"
"2.6","743.2938","0.1283229","0.0760498"
"2.61","746.5363","0.1288229","0.07636642"
"2.62","750.2715","0.1293229","0.07679367"
"2.63","753.8795","0.1298229","0.07679367"
"2.64","757.2253","0.1303229","0.07728577"
"2.65","760.444","0.1308229","0.07780075"
"2.66","764.0759","0.1313229","0.07780075"
"2.67","767.9304","0.1318229","0.0782814"
"2.68","771.3159","0.1323333","0.0782814"
"2.69","774.8365","0.1328437","0.07874298"
"2.7","777.92","0.1333437","0.07920456"
"2.71","781.2421","0.1338542","0.07920456"
"2.72","784.9455","0.1343542","0.07969666"
"2.73","788.2118","0.1348542","0.08022308"
"2.74","791.7484","0.1353542","0.08022308"
"2.75","795.1577","0.1358542","0.08073044"
"2.76","799.1075","0.1363437","0.08073044"
"2.77","802.1911","0.1368438","0.0811882"
"2.78","805.672","0.1373437","0.08157349"
"2.79","809.4152","0.1378333","0.08157349"
"2.8","812.7689","0.1383438","0.08195877"
"2.81","815.924","0.1388333","0.08241272"
"2.82","819.9692","0.1393438","0.08241272"
"2.83","823.5931","0.1398333","0.08295441"
"2.84","826.8912","0.1403333","0.08295441"
"2.85","830.8808","0.1408333","0.08353043"
"2.86","834.3458","0.1413333","0.08411026"
"2.87","837.4771","0.1418333","0.08411026"
"2.88","841.1169","0.1423437","0.08466721"
"2.89","844.8522","0.1428438","0.08518982"
"2.9","848.5317","0.1433437","0.08518982"
"2.91","851.7266","0.1438438","0.08572006"
"2.92","855.5571","0.1443542","0.08572006"
"2.93","859.205","0.1448542","0.0862999"
"2.94","862.9878","0.1453542","0.08692551"
"2.95","866.5323","0.1458437","0.08692551"
"2.96","870.2596","0.1463438","0.08755493"
"2.97","874.0504","0.1468333","0.08814621"
"2.98","877.4836","0.1473333","0.08814621"
"2.99","880.9567","0.1478229","0.08868027"
"3","884.5886","0.1483229","0.08868027"
"3.01","887.9026","0.1488125","0.08913803"
"3.02","891.5663","0.1493125","0.08953094"
"3.03","895.1505","0.1498229","0.08953094"
"3.04","898.2976","0.1503229","0.08990479"
"3.05","902.2474","0.1508229","0.09033585"
"3.06","905.7999","0.1513229","0.09033585"
"3.07","909.3602","0.1518229","0.09085083"
"3.08","913.0399","0.1523229","0.09085083"
"3.09","916.3539","0.1528333","0.09144211"
"3.1","919.7394","0.1533333","0.09205246"
"3.11","923.3634","0.1538437","0.09205246"
"3.12","927.2416","0.1543438","0.09263611"
"3.13","930.9689","0.1548542","0.09263611"
"3.14","934.736","0.1553542","0.09316254"
"3.15","938.495","0.1558542","0.09365463"
"3.16","942.0156","0.1563542","0.09365463"
"3.17","945.9893","0.1568542","0.09416962"
"3.18","949.4305","0.1573437","0.09475327"
"3.19","952.9988","0.1578438","0.09475327"
"3.2","956.4559","0.1583333","0.09538269"
"3.21","959.9765","0.1588333","0.09538269"
"3.22","963.6323","0.1593437","0.09597397"
"3.23","967.3596","0.1598437","0.09643936"
"3.24","970.8087","0.1603438","0.09643936"
"3.25","974.4883","0.1608437","0.09677505"
"3.26","978.0724","0.1613438","0.09706497"
"3.27","981.7521","0.1618437","0.09706497"
